Appareil suivi,Type,Consommation Total des deux dernieres annees
Santé,APNESOMMEIL,121.5
Santé,APNESOMMEIL,50.0
Congélateur,ARMOIRE,1784.5
Congélateur,ARMOIRE,1467.1
Congélateur,ARMOIRE,1266.0
Congélateur,ARMOIRE,1158.1
Congélateur,ARMOIRE,890.5
Congélateur,ARMOIRE,790.9
Congélateur,ARMOIRE,760.2
Congélateur,ARMOIRE,622.4000000000001
Congélateur,ARMOIRE,610.3
Congélateur,ARMOIRE,607.1
Congélateur,ARMOIRE,538.7
Congélateur,ARMOIRE,530.9
Congélateur,ARMOIRE,527.9000000000001
Congélateur,ARMOIRE,521.2
Congélateur,ARMOIRE,480.20000000000005
Congélateur,ARMOIRE,476.6
Congélateur,ARMOIRE,459.5
Congélateur,ARMOIRE,427.5
Congélateur,ARMOIRE,407.4
Congélateur,ARMOIRE,363.4
Congélateur,ARMOIRE,324.70000000000005
Congélateur,ARMOIRE,319.5
Congélateur,ARMOIRE,317.9
Congélateur,ARMOIRE,316.5
Congélateur,ARMOIRE,241.0
Congélateur,ARMOIRE,235.39999999999998
Congélateur,ARMOIRE,207.3
Congélateur,ARMOIRE,189.0
Nettoyage_sols,ASPIRATEUR CENTRALISÉ,69.3
Nettoyage_sols,ASPIRATEUR CENTRALISÉ,13.5
Nettoyage_sols,ASPIRATEUR FILAIRE,90.69999999999999
Nettoyage_sols,ASPIRATEUR FILAIRE,30.7
Nettoyage_sols,ASPIRATEUR FILAIRE,6.4
Nettoyage_sols,ASPIRATEUR RECHARGEABLE,18.4
Nettoyage_sols,ASPIRATEUR RECHARGEABLE,17.1
Nettoyage_sols,ASPIRATEUR RECHARGEABLE,10.5
Nettoyage_sols,ASPIRATEUR RECHARGEABLE,9.6
Nettoyage_sols,ASPIRATEUR RECHARGEABLE,8.6
Nettoyage_sols,ASPIRATEUR RECHARGEABLE,6.6
Nettoyage_sols,ASPIRATEUR RECHARGEABLE,1.7000000000000002
Nettoyage_sols,ASPIRATEUR ROBOT,39.4
Nettoyage_sols,ASPIRATEUR ROBOT,31.0
Nettoyage_sols,ASPIRATEUR ROBOT,12.1
Nettoyage_sols,ASPIRATEUR ROBOT,6.1
Nettoyage_sols,ASPIRATEUR À MAIN,4.0
Périph_info_bureautique,ASSISTANT VOCAL,24.5
Loisirs,Adoucisseur,52.1
Loisirs,Adoucisseur,28.200000000000003
Loisirs,Aquarium avec chauffage,1642.0
Loisirs,Aquarium avec chauffage,1554.6999999999998
Loisirs,Aquarium juste pompe,90.30000000000001
Divers cuisine,BLENDER,2.8
Loisirs,Balneo,75.1
Audio_TV,Barre De Son,38.9
Audio_TV,Barre De Son,27.7
Audio_TV,Barre De Son,15.6
Audio_TV,Barre De Son,15.4
Audio_TV,Barre De Son 2,13.3
Sécurité,CAMÉRA WIFI,264.0
Repassage,CENTRALE VAPEUR DE REPASSAGE,72.69999999999999
Repassage,CENTRALE VAPEUR DE REPASSAGE,72.1
Repassage,CENTRALE VAPEUR DE REPASSAGE,64.0
Repassage,CENTRALE VAPEUR DE REPASSAGE,61.6
Repassage,CENTRALE VAPEUR DE REPASSAGE,46.4
Repassage,CENTRALE VAPEUR DE REPASSAGE,46.3
Repassage,CENTRALE VAPEUR DE REPASSAGE,29.5
Repassage,CENTRALE VAPEUR DE REPASSAGE,22.9
Repassage,CENTRALE VAPEUR DE REPASSAGE,21.299999999999997
Repassage,CENTRALE VAPEUR DE REPASSAGE,0.0
Eau chaude sanitaire,CETI,1854.5
Eau chaude sanitaire,CETI,1667.2
Eau chaude sanitaire,CETI,1333.6
Clim_mob_rafraich_Déshum,CLIMATISEUR SUR PRISE,85.9
Congélateur,COFFRE,1477.2
Congélateur,COFFRE,1260.5
Congélateur,COFFRE,1152.7
Congélateur,COFFRE,876.6
Congélateur,COFFRE,644.1
Congélateur,COFFRE,639.9000000000001
Congélateur,COFFRE,560.0999999999999
Congélateur,COFFRE,443.70000000000005
Congélateur,COFFRE,441.1
Congélateur,COFFRE,431.4
Congélateur,COFFRE,358.9
Congélateur,COFFRE,343.79999999999995
Congélateur,COFFRE,292.5
Congélateur,COFFRE,272.0
Congélateur,COFFRE,250.8
Congélateur,COFFRE,236.60000000000002
Sèche linge,CONDENSATION,1332.4
Sèche linge,CONDENSATION,902.6
Sèche linge,CONDENSATION,817.3
Sèche linge,CONDENSATION,583.7
Sèche linge,CONDENSATION,577.9
Sèche linge,CONDENSATION,548.1
Sèche linge,CONDENSATION,504.20000000000005
Sèche linge,CONDENSATION,469.9
Sèche linge,CONDENSATION,249.9
Sèche linge,CONDENSATION,150.2
Sèche linge,CONDENSATION,144.7
Sèche linge,CONDENSATION,135.1
Sèche linge,CONDENSATION,21.1
Divers cuisine,CUISSEUR VAPEUR,37.2
Divers cuisine,CUISSEUR VAPEUR,34.2
Divers cuisine,CUISSEUR VAPEUR,1.4
Periph_multimedia,DÉCODEUR,227.6
Periph_multimedia,DÉCODEUR,225.2
Periph_multimedia,DÉCODEUR,195.6
Periph_multimedia,DÉCODEUR,85.8
Periph_multimedia,DÉCODEUR,15.9
Clim_mob_rafraich_Déshum,DÉSHUMIDIFCATEUR,2781.8
Clim_mob_rafraich_Déshum,DÉSHUMIDIFCATEUR,191.8
Piscines,ENTERRÉE,6820.5
